table,table_title,sequence,column_name,label,data_type,units,minimum,maximum,domain,allowed_values,description
cosoilmoist,,6,soimoistdepb_h,Bottom Depth - High Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the lower boundary of the moisture layer.
cosoilmoist,,7,soimoiststat,Moisture Status,Choice,,,,soil_moisture_status,Dry: >1500 kPa (>15 bar) suction | Moist: =<1500 to 0.01 kPa ( =<15 bar to 0.00001 bar) suction. | Saturation from capillary fringe | Wet: <0.01 kPa ( <0.00001 bar) suction; free water present (satiated wet). | Frozen,"The typical soil moisture state of the layer, for the month in question."
cosoilmoist,,8,comonthkey,Component Month Key,String,,,,,,The unique identifier of a record in the Component Month table. Use this column to join the Component Soil Moisture table to the Component Month table.
cosoilmoist,,9,cosoilmoistkey,Component Soil Moisture Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Soil Moisture table.
cosoiltemp,,1,soitempmm,Monthly Temp,Integer,degrees centigrade,-25.00,50.00,,,The long-term monthly average of the mean daily soil temperature of the layer for the month in question. Long-term is generally considered to be a 30-year average.
cosoiltemp,,2,soitempdept_l,Top Depth - Low Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the upper boundary of the soil temperature layer.
cosoiltemp,,3,soitempdept_r,Top Depth - Representative Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the upper boundary of the soil temperature layer.
cosoiltemp,,4,soitempdept_h,Top Depth - High Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the upper boundary of the soil temperature layer.
cosoiltemp,,5,soitempdepb_l,Bottom Depth - Low Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the lower boundary of the soil temperature layer.
cosoiltemp,,6,soitempdepb_r,Bottom Depth - Representative Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the lower boundary of the soil temperature layer.
cosoiltemp,,7,soitempdepb_h,Bottom Depth - High Value,Integer,centimeters,0.00,9999.00,,,The distance from the top of the soil to the lower boundary of the soil temperature layer.
cosoiltemp,,8,comonthkey,Component Month Key,String,,,,,,The unique identifier of a record in the Component Month table. Use this column to join the Component Soil Temperature table to the Component Month table.
cosoiltemp,,9,cosoiltempkey,Component Soil Temperature Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Soil Temperature table.
cosurffrags,,1,sfragcov_l,Cover % - Low Value,Float,percent,0.00,100.00,,,Percent of the ground covered by fragments 2 mm or larger (20 mm or larger for wood fragments).
cosurffrags,,2,sfragcov_r,Cover % - Representative Value,Float,percent,0.00,100.00,,,Percent of the ground covered by fragments 2 mm or larger (20 mm or larger for wood fragments).
cosurffrags,,3,sfragcov_h,Cover % - High Value,Float,percent,0.00,100.00,,,Percent of the ground covered by fragments 2 mm or larger (20 mm or larger for wood fragments).
cosurffrags,,4,distrocks_l,Spacing - Low Value,Float,meters,0.00,50.00,,,"Average distance between surface stones and/or boulders, measured between edges."
cosurffrags,,5,distrocks_r,Spacing - Representative Value,Float,meters,0.00,50.00,,,"Average distance between surface stones and/or boulders, measured between edges."
cosurffrags,,6,distrocks_h,Spacing - High Value,Float,meters,0.00,50.00,,,"Average distance between surface stones and/or boulders, measured between edges."
cosurffrags,,7,sfragkind,Kind,Choice,,,,fragment_kind,"Aa lava fragments: A type of basaltic lava (material) having a rough, jagged, clinkery surface and a vesicular interior. Compare - block lava, pahoehoe lava, pillow lava. | Acidic-ash | Amphibolite fragments | Andesite fragments | Andesitic-ash | Rock anhydrite fragments: A sedimentary rock (evaporite) composed chiefly of mineral anhydrite (anhydrous CaSO4); The rock is generally massive, cryptocrystalline, and may exhibit rhythmic sedimentation (rhymites). Compare - rock gypsum, rock halite. SW | Anorthosite fragments | Arenite fragments | Argillite fragments | Arkose fragments | Basalt fragments | Basaltic-ash | Basic-ash | Bauxite fragments: An off-white to dark red brown weathered detritus or rock composed of aluminum oxides (mainly gibbsite with some boehmite and diaspore), iron hydroxides, silica, silt, and especially clay minerals. Bauxite originates in tropical and subtropical environments as highly weathered residue from carbonate or silicate rocks and can occur in concretionary, earthy, pisolitic or oolitic forms. SW & GG | Block lava fragments: Lava having a surface of angular blocks; it is similar to `a`a lava but the fragments are larger and more regular in shape, somewhat smoother, and less vesicular. Compare - `a`a lava, pahoehoe lava, pillow lava. | Non-volcanic breccia fragments | Acidic Non-volcanic breccia fragments | Basic Non-volcanic breccia fragments | Calcrete fragments | Carbonate concretions | Carbonate nodules | Carbonate rock fragments | Chalk fragments | Charcoal fragments | Chert fragments: A hard, extremely dense or compact, dull to semivitreous, cryptocrystalline sedimentary rock, consisting dominantly of interlocking crystals of quartz less than about 30 mm in diameter; it may contain amorphous silica (opal). It sometimes contains impurities such as calcite, iron oxide, or the remains of silicious and other organisims. It has a tough, splintery to conchoidal fracture and may be white or variously colored gray, green, blue, pink, red, yellow, brown, and black. Chet occurs principally as nodular or concretionary segregations in limestones and dolomites. | Cinders: Uncemented vitric, vesicular, pyroclastic material, more than 2.0 mm in at least one dimension, with an apparent specific gravity (including vesicles) of more than 1.0 and less than 2.0. Compare - ash [volcanic], block [volcanic], lapilli, tephra. | Claystone fragments | Coal fragments | Calcareous conglomerate fragments | Noncalcareous conglomerate fragments | Conglomerate fragments: A coarse-grained, clastic sedimentary rock composed of rounded to subangular rock fragments larger than 2 mm, commonly with a matrix of sand and finer material; cements include silica, calcium carbonate, and iron oxides. The consolidated equivalent of gravel. | Dacite fragments | Diabase fragments | Diatomite fragments: A light-colored, soft, siliceous sedimentary rock (generally consolidated) consisting chiefly of opaline diatom frustules deposited in a lacustrine or marine environment. Diatomite has a number of uses owing to its high surface area, absorptive capacity, and relative chemical stability but the term is generally reserved for deposits of actual or potential commercial value. | Diorite fragments | Dolomite fragments: A carbonate sedimentary rock consisting chiefly (more than 50 percent by weight or by areal percentages under the microscope) of the mineral dolomite. | Durinodes | Duripan fragments | Ejecta fragments | Ejecta-ash | Fanglomerate fragments | Gabbro fragments | Gibbsite concretions | Gibbsite nodules | Glauconite fragments | Gneiss fragments | Biotite gneiss fragments | Granodioritic gneiss fragments | Hornblende gneiss fragments | Migmatitic gneiss fragments | Muscovite-biotite gneiss fragments | Acidic gneiss fragments | Basic gneiss fragments | Granite fragments | Granitoid fragments: a) In the IUGS classification, a preliminary term for (for field use) for a plutonic rock with Q (quartz) between 20 and 40 (%). b) A general term for all phaneritic igneous rocks (mineral crystals visible unaided and all about the same size) dominated by quartz and feldspars. | Granodiorite fragments | Granofels fragments | Granulite fragments | Graywacke fragments | Greenstone fragments | Gypsum crystal fragments | Rock gypsum fragments: A sedimentary rock (evaporite) composed primarily of mineral gypsum (CaSO4.2H2O). The rock is generally massive, ranges from coarse crystalline to fine granular, may show disturbed bedding due to hydration expansion of parent anhydrite (anhydrous CaSO4), and may exhibit rhythmic sedimentation (rhymites). Compare gypsite. GG | Rock halite fragments: A sedimentary rock (evaporite) composed primarily of halite (NaCl). SW | Herbaceous material | Hornfels fragments | Acid igneous rock fragments | Basic igneous rock fragments | Coarse crystal igneous rock fragments | Fine crystal igneous rock fragments | Intermediate igneous rock fragments | Ultrabasic igneous rock fragments | Igneous rock fragments: Rock formed by solidification from a molten or partially molten state; major varieties include plutonic and volcanic rocks. Examples: andesite, basalt, granite. Compare - intrusive, extrusive. | Ignimbrite fragments | Interbedded sedimentary rock fragments | Iron-manganese concretions | Iron-manganese nodules | Ironstone nodules | Lapilli: Non or slightly vesicular pyroclastics, 2.0 to 76 mm in at least one dimension, with an apparent specific gravity of 2.0 or more. Compare - ash [volcanic], block [volcanic], cinders, tephra. | Latite fragments | Lignite fragments: A brownish-black carbon-rich deposit that is a metamorphic intermediate between peat and sub-bituminous coal . Dry lignite typically contains 60-70 % carbon. SW & GG | Arenaceous limestone fragments | Argillaceous limestone fragments | Cherty limestone fragments | Coral limestone fragments: An informal term for massive limestone composed primarily of coral and coral fragments commonly associated with marine islands or coral reefs in tropical or subtropical waters. Compare - coral island. SW | Phosphatic limestone fragments | Limestone fragments: A sedimentary rock consisting chiefly (more than 50 percent) of calcium carbonate, primarily in the form of calcite. Limestones are usually formed by a combination of organic and inorganic processes and include chemical and clastic (soluble and insoluble) constituents; many contain fossils. | Limestone-sandstone fragments | Limestone-sandstone-shale fragments | Limestone-shale fragments | Limestone-siltstone fragments | Limonite: A general 'field' term for various brown to yellowish brown, amorphous- to- cryptocrystalline hydrous ferric oxides that are an undetermined mixture of goethite, hematite, and lepidocrocite formed by weathering and iron oxidation from iron-bearing, rocks and minerals. SW & GG | Logs and stumps | Marble fragments | Marl fragments: An earthy, unconsolidated deposit consisting chiefly of calcium carbonate mixed with clay in approximately equal proportions (35 to 65 percent of each); formed primarily under freshwater lacustrine conditions, but varieties associated with more saline environments also occur. | Metaconglomerate fragments | Foliated metamorphic rock fragments | Metamorphic rock fragments: Rock of any origin altered in mineralogical composition, chemical composition, or structure by heat, pressure, and movement at depth in the earth's crust. Nearly all such rocks are crystalline. Examples: schist, gneiss, quartzite, slate, marble. | Metaquartzite fragments | Metasedimentary rock fragments | Metasiltstone fragments | Metavolcanic rock fragments | Mica fragments: A group of monoclinic phyllosilicate minerals with perfect basal cleavage that splits into thin elastic laminae and range from colorless to black. Large crystals of mica are referred to as a mica book. | Migmatite fragments | Mixed rock fragments | Mixed calcareous rock fragments | Mixed igneous and metamorphic rock fragments | Mixed igneous, metamorphic, and sedimentary rock fragments | Mixed igneous and sedimentary rock fragments | Mixed metamorphic and sedimentary rock fragments | Mixed noncalcareous rock fragments | Monzonite fragments | Mossy material | Mudstone fragments | Mylonite fragments | Novaculite: A dense, extremely finely grained, even-textured, siliceous, sedimentary rock similar to chert. It is hard, white to grayish-black in color, translucent on thin edges, has a dull to waxy luster, and displays smooth conchoidal fracture when broken. Novaculite principally occurs in the Marathon Uplift of Texas and Ouachita Mountains of Arkansas and Oklahoma where it forms erosion resistant ridges. Novaculite appears to form from chert recrystallization with microcrystalline quartz dominant over cryptocrystalline chalcedony. At the Ouachita Mountains type occurrence, novaculite formed by low-grade, thermal metamorphism of bedded chert. Novaculite is commercially quarried as a whetstone or oilstone. Compare - chert. GG & SW | Obsidian fragments | Organic material | Orthoquartzite fragments | Ortstein fragments | Oxide protected rock | Pahoehoe lava fragments: A type of basaltic lava (material) with a characteristically smooth, billowy or rope-like surface and vesicular interior. Compare - `a`a lava, block lava, pillow lava. | Peridotite fragments | Petrocalcic fragments | Petroferric fragments | Petrogypsic fragments | Phyllite fragments | Pillow lava fragments: A general term for lava displaying pillow structure (discontinuous, close-fitting, bun-shaped or ellipsoidal masses, generally < 1 m in diameter); considered to have formed in a subaqueous environment; such lava is usually basaltic or andesitic. Compare - `a`a lava, block lava, pahoehoe lava. | Plinthite nodules | Porcellanite fragments | Pumice fragments: A light-colored, vesicular, glassy rock commonly having the composition of rhyolite. It commonly has a specific gravity of < 1.0 and is thereby sufficiently buoyant to float on water. | Pyroclastic rock fragments | Pyroclastic fragments: Fragmental materials produced by usually explosive, aerial ejection of clastic particles from a volcanic vent. Such materials may accumulate on land or under water. | Pyroxenite fragments | Quartz fragments | Quartz-diorite fragments | Quartzite fragments | Quartz-monzonite fragments | Rhyolite fragments | Calcareous sandstone fragments | Glauconitic sandstone fragments | Noncalcareous sandstone fragments | Sandstone fragments: Sedimentary rock containing dominantly sand-size clastic particles. | Sandstone and shale fragments | Sandstone and siltstone fragments | Saprolite | Acidic schist fragments | Basic schist fragments | Biotite schist fragments: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily biotite. | Graphitic schist fragments | Mica schist fragments | Muscovite schist fragments: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily muscovite. | Sericite schist: A strongly foliated crystalline rock formed by dynamic metamorphism that has well-developed parallelism of more than 50 percent of the minerals present, primarily sericite. A fine-grained muscovite | Schist fragments | Scoria fragments: Vesicular, cindery crust or bomb-sized fragments of such material on the surface of andesitic or basaltic lava, the vesicular nature of which is due to the escape of volcanic gases before solidification; it is usually heavier, darker, and more crystalline than pumice. Synonym - cinder. | Sedimentary rock fragments: A consolidated deposit of clastic particles, chemical precipitates, and organic remains accumulated at or near the surface of the earth under ""normal"" low temperature and pressure conditions. Sedimentary rocks include consolidated equivalents of alluvium, colluvium, drift, and eolian, lacustrine, marine deposits; e.g., sandstone, siltstone, mudstone, clay-stone, shale, conglomerate, limestone, dolomite, coal, etc. | Serpentinite fragments | Acid shale fragments | Calcareous shale fragments | Clayey shale fragments | Noncalcareous shale fragments | Shale fragments: Sedimentary rock formed by induration of a clay, silty clay, or silty clay loam deposit and having the tendency to split into thin layers, i.e., fissility. | Shale-siltstone fragments | Shell fragments | Silica concretions | Siltite fragments: A compact, weakly metamorphosed rock formed by alteration of siltstone, mudstone, or silty shale. Siltite is more indurated than mudstone or shale and lacks either shale fissility or slate-like cleavage. Siltite differs from argillite in that silt-size grains (0.002 to 0.062 mm) rather than clay-size (<0.002 mm) dominate the matrix. Siltite differs from siltstone, mudstone, or shale in that it exhibits very low to low grade metamorphic or diagenetic layer silicate and feldspar alteration to sericite, chlorite, and albite (subgreenschist to greenschist metamorphic facies) (Maxwell, 1973; Kidder, 1987). | Calcareous siltstone fragments | Noncalcareous siltstone fragments | Siltstone fragments: Sedimentary rock containing dominantly silt-size clastic particles. | Slate fragments | Sulfidic slate fragments | Soapstone fragments | Syenite fragments | Syenodiorite fragments | Tachylite fragments | Tonalite fragments | Trachyte fragments | Travertine fragments | Tripoli fragments: A light-colored, porous, friable, siliceous (largely chalcedonic) sedimentary rock, which occurs in powdery or earthy masses that result from the weathering of siliceous limestone. It has a harsh, rough feel and is used to polish metals and stones. | Tufa fragments | Tuff breccia fragments | Acidic tuff fragments | Basic tuff fragments | Tuff fragments: A compacted deposit that is 50 percent or more volcanic ash and dust | Welded tuff fragments | Ultramafic rock fragments | Volcanic bombs | Acidic volcanic breccia fragments | Basic volcanic breccia fragments | Volcanic breccia fragments | Volcanic rock fragments | Wood fragments",The lithology/composition of the surface fragments 2 mm or larger (20 mm or larger for wood fragments).
cosurffrags,,8,sfragsize_l,Size - Low Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the surface fragment.
cosurffrags,,9,sfragsize_r,Size - Representative Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the surface fragment.
cosurffrags,,10,sfragsize_h,Size - High Value,Integer,millimeters,2.00,3000.00,,,Size based on the multiaxial dimensions of the surface fragment.
cosurffrags,,11,sfragshp,Shape,Choice,,,,fragment_shape,Flat | Nonflat,A description of the overall shape of the surface fragment.
cosurffrags,,12,sfraground,Roundness,Choice,,,,fragment_roundness,"Very angular: Strongly developed faces with very sharp, broken edges. | Angular: Strongly developed faces with sharp edges (SSM). | Subangular: Detectable flat faces with slightly-rounded corners. | Subrounded: Detectable flat faces with well-rounded corners (SSM). | Rounded: Flat faces absent or nearly absent with all corners rounded (SSM). | Well rounded: Flat faces absent with all corners rounded.",An expression of the sharpness of edges and corners of surface fragments.
cosurffrags,,13,sfraghard,Hardness,Choice,,,,rupture_resist_block_cem,Noncemented: Stress applied ranges from 0 to 8 newtons. (SSM) | Extremely weakly cemented: Stress applied ranges from 8 to 20 newtons. (SSM) | Very weakly cemented: Stress applied ranges from 20 to 40 newtons. (SSM) | Weakly cemented: Stress applied ranges from 40 to 80 newtons. (SSM) | Weakly cemented*: Stress applied ranges from 8 to 80 newtons. (SSM) | Moderately cemented: Stress applied ranges from 80 to 160 newtons. (SSM) | Moderately cemented*: Stress applied ranges from 80 to 800 newtons. (SSM) | Strongly cemented: Stress applied ranges from 160 to 800 newtons. (SSM) | Strongly cemented*: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Very strongly cemented: Stress applied ranges from 800 newtons to 3 joules. (SSM) | Indurated: Stress applied is greater than or equal 3 joules. (SSM) | Extremely strong | hard | soft,The hardness of the fragment.
cosurffrags,,14,cokey,Component Key,String,,,,,,The unique identifier of a record in the Component table. Use this column to join the Component Surface Fragments table to the Component table.
cosurffrags,,15,cosurffragskey,Component Surface Fragments Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Surface Fragments table.
cosurfmorphgc,,1,geomposmntn,Geomorphic Component - Mountains,Choice,,,,geomor_pos_mountain,"Mountaintop: roughly analogous to the crest or summit); Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Mountainflank: the long slope along the sides of mountains which can be further subdivided into three portions based on the relative slope location: upper third-, middle third-, or lower third mountainflank; Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Mountainbase: colluvium / slope alluvium apron at the bottom of the mountain; Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Upper third of mountainflank: The upper third of the long slope along mountainflank. Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Center third of mountainflank: The middle third of the long slope along mountainflank. Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Lower third of mountainflank: The lower third of the long slope along mountainflank. Reference: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. | Free face: The part of a hillside or mountainside consisting of an outcrop of bare rock (scarp or cliff) that sheds colluvium to slopes below and commonly stands more steeply than the angle of repose of the colluvial slope (e.g. talus slope) immediately below. References: Schoeneberger, P.J. and Wysocki, D.A. 2013. (personal communication), National Soil Survey Center, NRCS, Lincoln, NE. and Neuendorf, K.K.E., Mehl Jr., J.P., and Jackson, J.A. (ed.) 2005. Glossary of geology, 5th Ed. American Geological Institute, Alexandria, VA. 779 p.",A mappable part of the earth's surface (three dimensional) that represents an episode of landscape development of mountains.
cosurfmorphgc,,2,geomposhill,Geomorphic Component - Hills,Choice,,,,geomor_pos_hill,"Interfluve: An elevated area between two drainageways that sheds water to those drainageways. | Head Slope: The concave surface at the head of a drainageway where the flow of water converges downward toward the center and contour lines form concave curves. | Nose Slope: The projecting end of an interfluve, where contour lines connecting the opposing side slopes form convex curves around the projecting end and lines perpendicular to the contours diverge downward. Overland flow of water is divergent. | Side Slope: The slope bounding a drainageway and lying between the drainageway and the adjacent interfluve. It is generally linear along the slope width and overland flow is parallel down the slope. | Base Slope: A geomorphic component of hills consisting of the concave to linear slope (perpendicular to the contour) which, regardless of the lateral shape is an area that forms an apron or wedge at the bottom of a hillside dominated by colluvial and slope wash processes and sediments (e.g., colluvium and slope alluvium). Distal base slope sediments commonly grade to, or interfinger with, alluvial fills, or gradually thin to form pedisediment over residuum. Compare - head slope, side slope, nose slope, interfluve, free face. SW | Crest: A geomorphic component of hills consisting of the convex slopes (perpendicular to the contour) that form the narrow, roughly linear top area of a hill, ridge, or other upland where shoulders have converged to the extent that little or no summit remains; dominated by erosion, slope wash and mass movement processes and sediments (e.g., slope alluvium, creep). Commonly, soils on crests are more similar to those on side slopes than to soils on adjacent interfluves. Compare - interfluve, head slope, side slope, nose slope. SW | Free face: The part of a hillside or mountainside consisting of an outcrop of bare rock (scarp or cliff) that sheds colluvium to slopes below and commonly stands more steeply than the angle of repose of the colluvial slope (e.g. talus slope) immediately below. SW & GG | Crested hills",A mappable part of the earth's surface (three dimensional) that represents an episode of landscape development of hills.
cosurfmorphgc,,3,geompostrce,Geomorphic Component - Terraces,Choice,,,,geomor_pos_terrace,"Riser: The vertical or steeply sloping surface, commonly one of a series, of natural steplike landforms, as those of a glacial stairway or of successive stream terraces. | Tread: The flat or gently sloping surface of natural step-like landforms, commonly one of a series, such as successive stream terraces.",A mappable part of the earth's surface (three dimensional) that represents an episode of landscape development of terraces.
cosurfmorphgc,,4,geomposflats,Geomorphic Component - Flats,Choice,,,,geomor_pos_flat,"Flat: default choice, official choices to be determined later | Dip: A geomorphic component (characteristic piece) of flat plains (e.g., lake plain, low coastal plain, low-relief till plain) consisting of a shallow and typically closed depression that tends to be an area of focused groundwater recharge but not a permanent water body and that lies slightly lower and is wetter than the adjacent talf, and favors the accumulation of fine sediments and organic materials. SW | Rise: A geomorphic component of flat plains (e.g., lake plain, low coastal plain, low-gradient till plain) consisting of a slightly elevated but low, broad area with low slope gradients (e.g. 1-3 % slopes); typically a microfeature but can be fairly extensive. Commonly soils on a rise are better drained than those on the surrounding talf. Compare - talf. SW | Talf: A geomorphic component of flat plains (e.g., lake plain, low coastal plain, low-gradient till plain) consisting of an essentially flat (e.g. 0-1 % slopes) and broad area dominated by closed depressions and a non-integrated or poorly integrated drainage system. Precipitation tends to pond locally and lateral transport is slow both above and below ground, which favors the accumulation of soil organic matter and a retention of fine earth sediments; better drained soils are commonly adjacent to drainageways. Compare - rise. SW",Description of the geomorphic component for flats.
cosurfmorphgc,,5,cogeomdkey,Component Geomorphic Description Key,String,,,,,,The unique identifier of a record in the Component Geomorphic Description table. Use this column to join the Component Geomorphic Description table to the Component Three Dimensional Surface Morphometry table.
cosurfmorphgc,,6,cosurfmorgckey,Component Surface Morphometry - Geomorphic Component Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Three Dimensional Surface Morphometry table.
cosurfmorphhpp,,1,hillslopeprof,Hillslope Profile,Choice,,,,hillslope_profile,"Summit: The topographically highest hillslope position of a hillslope profile and exhibiting a nearly level (planar or only slightly convex) surface. | Shoulder: The hillslope position that forms the uppermost inclined surface near the top of a hillslope. If present, it comprises the transition zone from backslope to summit. The surface is dominantly convex in profile and erosional in origin. | Backslope: The hillslope profile position that forms the steepest and generally linear, middle portion of the slope. In profile, backslopes are commonly bounded by a convex shoulder above and a concave footslope below. They may or may not include cliff segments (i.e. free faces). Backslopes are commonly erosional forms produced by mass movement, colluvial action, and running water. | Footslope: The hillslope position that forms the inner, gently inclined surface at the base of a hillslope. In profile, footslopes are commonly concave. It is a transition zone between upslope sites of erosion and transport (shoulder, backslope) and downslope sites of deposition (toeslope). | Toeslope: The hillslope position that forms the gently inclined surface at the base of a hillslope. Toeslopes in profile are commonly gentle and linear, and are constructional surfaces forming the lower part of a hill-slope continuum that grades to valley or closed-depression floors.","Two dimensional slope segments of a hillslope that have similar geometric, erosional, or depositional characteristics."
cosurfmorphhpp,,2,cogeomdkey,Component Geomorphic Description Key,String,,,,,,The unique identifier of a record in the Component Geomorphic Description table. Use this column to join the Component Geomorphic Description table to the Component Two Dimensional Surface Morphometry table.
cosurfmorphhpp,,3,cosurfmorhppkey,Component Surface Morphometry - Hillslope Profile Position,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Two Dimensional Surface Morphometry table.
cosurfmorphmr,,1,geomicrorelief,Microrelief Kind,Choice,,,,microrelief_kind,"Microhigh: A generic microrelief term applied to slightly elevated areas relative to the adjacent ground surface; differences in relief range from several centimeters to several meters; cross sectional profiles can be simple or complex and generally consist of gently rounded, convex tops with gently sloping sides. | Microlow: A generic microrelief term applied to slightly lower areas relative to the adjacent ground surface; differences in relief range from several centimeters to several meters; ; cross sectional profiles can be simple or complex and generally consist of subdued, concave, open or closed depressions with gently sloping sides. | Microdepression: refer to micro-low | Microknoll: refer to micro-high. | Microslope: A generic Microrelief term applied to areas of nominal surface relief (slightly sloping to level), relative to the adjacent ground surface; differences in overall local relief range from several centimeters to several meters. Cross-sectional profiles can be simple or complex and generally consist of low and gently rounded, convex tops (microhigh) with gently sloping to level sides (microslope), and depressional low areas (microlow). Microslopes commonly constitute the majority of the land surface area in gilgai and other settings with microrelief. SW. | Other (specified in notes)","The kind of slight variations in the height of a land surface that are too small or intricate to delineate on a topographic or soils map at commonly used scales (1:24000, and 1:10000)."
cosurfmorphmr,,2,cogeomdkey,Component Geomorphic Description Key,String,,,,,,The unique identifier of a record in the Component Geomorphic Description table. Use this column to join the Component Geomorphic Description table to the Component Microrelief Surface Morphometry table.
cosurfmorphmr,,3,cosurfmormrkey,Component Surface Morphometry - Micro Relief Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Microrelief Surface Morphometry table.
cosurfmorphss,,1,shapeacross,Slope Shape Across,Choice,,,,slope_shape,"Concave: Up & Down Slope: A slope segment of the land surface whose slope gradient increases up the slope and decreases down the slope, and runoff tends to decelerate as it flows down the slope. In cross-sectional profile, the surface bows downward. Across Slope: A lateral slope segment of the land surface that bows inward along the contour which causes runoff to concentrate towards the middle. From an aerial perspective, the line bows into the slope. | Convex: Up & Down Slope: A slope segment of the land surface whose slope gradient decreases up the slope and increases down the slope, and runoff tends to accelerate as it flows down the slope. In cross-sectional profile, the surface bows upward. Across Slope: A lateral slope segment of the land surface that bows outward along the contour, which causes runoff to spread out away from the middle. From an aerial perspective, the line bows out, away from the slope. | Linear: Up & Down Slope: A slope segment of the land surface whos slope gradient is approximately constant and across which runoff neither accelerates nor decelerates as it flows down the slope. In cross-sectional profile the surface appears dominantly as a straight line. Across Slope: A lateral slope segment of the land surface that is dominantly a straight line as observed along the contour, which causes predominantly parallel surface water flow. | Undulating | Complex","The geometric, two dimensional profile (shape) of the slope parallel to elevation contours."
cosurfmorphss,,2,shapedown,Slope Shape Up/Down,Choice,,,,slope_shape,"Concave: Up & Down Slope: A slope segment of the land surface whose slope gradient increases up the slope and decreases down the slope, and runoff tends to decelerate as it flows down the slope. In cross-sectional profile, the surface bows downward. Across Slope: A lateral slope segment of the land surface that bows inward along the contour which causes runoff to concentrate towards the middle. From an aerial perspective, the line bows into the slope. | Convex: Up & Down Slope: A slope segment of the land surface whose slope gradient decreases up the slope and increases down the slope, and runoff tends to accelerate as it flows down the slope. In cross-sectional profile, the surface bows upward. Across Slope: A lateral slope segment of the land surface that bows outward along the contour, which causes runoff to spread out away from the middle. From an aerial perspective, the line bows out, away from the slope. | Linear: Up & Down Slope: A slope segment of the land surface whos slope gradient is approximately constant and across which runoff neither accelerates nor decelerates as it flows down the slope. In cross-sectional profile the surface appears dominantly as a straight line. Across Slope: A lateral slope segment of the land surface that is dominantly a straight line as observed along the contour, which causes predominantly parallel surface water flow. | Undulating | Complex",Shape of the land surface perpendicular to topographic contours for the component on all or part of the geomorphic feature shown above in the Component Geomorphic Description table. Enter a value in this column only if appropriate to do so for the geomorphic feature being considered.
cosurfmorphss,,3,cogeomdkey,Component Geomorphic Description Key,String,,,,,,The unique identifier of a record in the Component Geomorphic Description table. Use this column to join the Component Geomorphic Description table to the Component Slope Shape Surface Morphometry table.
cosurfmorphss,,4,cosurfmorsskey,Component Surface Morphometry - Slope Shape Key,String,,,,,,A non-connotative string of characters used to uniquely identify a record in the Component Slope Shape Surface Morphometry table.
